Structure stats
===============
| scene  |  v  |next| hazard  |  safe   |uncertain|
|s08_1   |vdef |  51|        0|        0|        0|
|c04_1   |v1   |  53|        1|        2|        1|
|s09_4   |vdef |  53|        0|        0|        0|
|c01_2   |v0   |  49|        0|        2|        2|
|s09_6   |vdef |  52|        0|        0|        0|
|c08_4   |v1   |  44|        1|        1|        3|
|s08_4   |vdef |  28|        0|        0|        0|
|s09_5   |vdef |  41|        0|        0|        0|
|s08_3   |vdef |  38|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|s07_1   |vdef |  57|        0|        0|        0|
|s06_1   |vdef |  58|        0|        0|        0|
|s09_1   |vdef |  49|        0|        0|        0|
|c07_2   |v0   |  47|        0|        1|        1|
|c08_3   |v0   |  52|        0|        1|        2|
|s09_3   |vdef |  49|        0|        0|        0|
|c05_1   |v0   |  46|        0|        2|        1|
|c08_2   |v0   |  51|        0|        1|        2|
|s09_2   |vdef |  36|        0|        0|        0|
|c08_1   |v0   |  44|        0|        0|        3|
|c07_3   |v10  |  55|        0|        1|        0|
|s07_2   |vdef |  38|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c05_2   |vdef |  56|        0|        0|        0|
|s05_2   |vdef |  47|        0|        0|        0|
|c03_1   |vdef |  49|        0|        1|        1|
|s01_2   |vdef |  56|        0|        0|        0|
|c10_4   |v01  |  64|        1|        3|        1|
|c07_1   |vdef |  45|        0|        0|        0|
|c09_2   |v11  |  48|        2|        5|        1|
|s03_2   |vdef |  45|        0|        0|        0|
|c10_6   |v10  |  49|        1|        5|        1|
|s03_1   |vdef |  40|        0|        0|        0|
|s05_1   |vdef |  48|        0|        0|        0|
|s06_2   |vdef |  32|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c10_2   |v00  |  59|        0|        1|        2|
|s08_4   |vdef |  49|        0|        0|        0|
|s01_1   |vdef |  41|        0|        0|        0|
|s10_1   |vdef |  52|        0|        0|        0|
|c10_5   |v00  |  54|        0|        2|        0|
|s02_1   |vdef |  44|        0|        0|        0|
|c10_8   |v10  |  42|        1|        3|        1|
|c09_1   |v00  |  45|        0|        2|        1|
|c10_3   |v11  |  45|        3|        2|        0|
|s04_1   |vdef |  48|        0|        0|        0|
|c09_3   |v11  |  54|        2|        1|        1|
|s04_2   |vdef |  40|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c08_5   |v1   |  53|        2|        0|        3|
|s08_3   |vdef |  41|        0|        0|        0|
|c06_2   |v1   |  55|        0|        5|        1|
|s09_5   |vdef |  51|        0|        0|        0|
|c08_4   |v0   |  46|        0|        1|        3|
|c10_1   |v0   |  44|        0|        3|        1|
|s08_1   |vdef |  49|        0|        0|        0|
|c01_2   |v1   |  63|        1|        2|        2|
|s09_2   |vdef |  51|        0|        0|        0|
|c04_1   |v0   |  39|        0|        3|        1|
|s09_4   |vdef |  46|        0|        0|        0|
|s09_6   |vdef |  47|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|c06_1   |v1   |  56|        1|        2|        0|
|s07_2   |vdef |  49|        0|        0|        0|
|c07_2   |v1   | inf|        1|        0|        1|
|s09_1   |vdef |  48|        0|        0|        0|
|c05_1   |v1   |  53|        1|        2|        0|
|c08_1   |v1   |  47|        1|        0|        2|
|s09_3   |vdef |  33|        0|        0|        0|
|s06_2   |vdef |  41|        0|        0|        0|
|c08_3   |v1   |  41|        1|        1|        1|
|s07_1   |vdef |  44|        0|        0|        0|
|c08_2   |v1   |  44|        1|        0|        2|
|s06_1   |vdef |  48|        0|        0|        0|
|--------+-----+----+---------+---------+---------|
|s05_2   |vdef | inf|        0|        0|        0|
|s03_1   |vdef |  42|        0|        0|        0|
|c07_1   |vdef | inf|        0|        0|        0|
